pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,fielder_2,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,pitcher,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp
FF,8/30/2023,93.6,-1.17,5.95,"Pepiot, Ryan",502054,686752,,ball,,,,,14,Tommy Pham doubles (21) on a sharp line drive to left fielder David Peralta.,R,R,R,LAD,AZ,B,,,2,0,2023,-0.39,1.68,2.32,2.14,,,,0,4,Top,,,,,605131,,,9.959323974,-135.7707127,-7.860804028,-6.963145657,28.2712594,-9.746190717,3.41,1.57,,,,94.6,2340,6.9,716774,686752,605131,518692,605141,571771,500743,444482,681546,518792,53.58,,,,,,,,29,3,4-Seam Fastball,4,0,0,4,0,4,0,4,Strategic,Strategic,209,0,0.135
FF,8/30/2023,94.1,-1.12,5.92,"Pepiot, Ryan",502054,686752,,ball,,,,,14,Tommy Pham doubles (21) on a sharp line drive to left fielder David Peralta.,R,R,R,LAD,AZ,B,,,1,0,2023,-0.54,1.72,0.3,1.02,,,,0,4,Top,,,,,605131,,,4.964551427,-136.7264449,-10.97675868,-7.84477606,27.7110686,-8.445363094,3.46,1.62,,,,95.6,2329,7.1,716774,686752,605131,518692,605141,571771,500743,444482,681546,518792,53.43,,,,,,,,29,2,4-Seam Fastball,4,0,0,4,0,4,0,4,Strategic,Standard,206,0,0.064
FF,8/30/2023,93.6,-1.12,5.95,"Pepiot, Ryan",502054,686752,,ball,,,,,14,Tommy Pham doubles (21) on a sharp line drive to left fielder David Peralta.,R,R,R,LAD,AZ,B,,,0,0,2023,-0.31,1.69,1.62,1.99,,,,0,4,Top,,,,,605131,,,7.821576435,-135.9235401,-8.28176601,-5.440946439,27.88130219,-9.601843545,3.44,1.63,,,,94.7,2292,6.9,716774,686752,605131,518692,605141,571771,500743,444482,681546,518792,53.61,,,,,,,,29,1,4-Seam Fastball,4,0,0,4,0,4,0,4,Strategic,Standard,206,0,0.036
CH,8/30/2023,85.2,-1.45,6.06,"Pepiot, Ryan",606466,686752,field_out,hit_into_play,,,,,5,Ketel Marte pops out to catcher Austin Barnes in foul territory.,R,L,R,LAD,AZ,X,2,popup,3,2,2023,-1.18,0.14,-0.13,2.6,,682998,,2,3,Top,105.35,200.26,,,605131,,,5.493981212,-123.9354543,-2.113971809,-13.21405697,24.22366483,-30.47800976,3.64,1.73,49,79.3,81,85.7,2500,6.6,716774,686752,605131,518692,605141,571771,500743,444482,681546,518792,53.95,0.003,0.003,0,1,0,0,3,20,7,Changeup,0,0,0,0,0,0,0,0,Infield shade,Standard,254,0.037,-0.301
FF,8/30/2023,94.1,-1.53,5.87,"Pepiot, Ryan",606466,686752,,ball,,,,,11,Ketel Marte pops out to catcher Austin Barnes in foul territory.,R,L,R,LAD,AZ,B,,,2,2,2023,-0.91,1.44,-1.73,2.92,,682998,,2,3,Top,,,,,605131,,,1.511273111,-137.0395169,-5.189667792,-11.84446351,30.00612022,-13.13929233,3.64,1.68,,,,95,2443,6.8,716774,686752,605131,518692,605141,571771,500743,444482,681546,518792,53.74,,,,,,,,20,6,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shade,Standard,213,0,0.057
CH,8/30/2023,84.6,-1.3,6.06,"Pepiot, Ryan",606466,686752,,foul,,,,,14,Ketel Marte pops out to catcher Austin Barnes in foul territory.,R,L,R,LAD,AZ,S,,,2,2,2023,-1.06,0.09,0.51,1.5,,682998,,2,3,Top,,,,,605131,,,6.351144596,-123.1228405,-4.541012218,-11.99965694,23.13565129,-30.53157009,3.64,1.73,4,67.6,-24,85.2,2405,6.6,716774,686752,605131,518692,605141,571771,500743,444482,681546,518792,53.94,,,,,,,,20,5,Changeup,0,0,0,0,0,0,0,0,Infield shade,Standard,259,0,0
FF,8/30/2023,92.1,-1.53,5.82,"Pepiot, Ryan",606466,686752,,foul,,,,,5,Ketel Marte pops out to catcher Austin Barnes in foul territory.,R,L,R,LAD,AZ,S,,,2,1,2023,-0.67,1.46,0.16,2.96,,682998,,2,3,Top,,,,,605131,,,5.816101546,-133.9851416,-4.652581437,-9.275066074,28.77766221,-13.78509805,3.64,1.73,213,70.2,37,93.3,2249,7,716774,686752,605131,518692,605141,571771,500743,444482,681546,518792,53.52,,,,,,,,20,4,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,208,0,-0.077
CH,8/30/2023,84.8,-1.4,6.04,"Pepiot, Ryan",606466,686752,,called_strike,,,,,7,Ketel Marte pops out to catcher Austin Barnes in foul territory.,R,L,R,LAD,AZ,S,,,2,0,2023,-1.13,0.25,-0.28,1.9,,682998,,2,3,Top,,,,,605131,,,4.926999267,-123.4445516,-3.912795685,-12.56586107,22.86091873,-29.08688098,3.56,1.62,,,,85.7,2499,6.7,716774,686752,605131,518692,605141,571771,500743,444482,681546,518792,53.8,,,,,,,,20,3,Changeup,0,0,0,0,0,0,0,0,Standard,Standard,253,0,-0.061
CH,8/30/2023,85,-1.59,5.9,"Pepiot, Ryan",606466,686752,,blocked_ball,,,,,14,Ketel Marte pops out to catcher Austin Barnes in foul territory.,R,L,R,LAD,AZ,B,,,1,0,2023,-1.34,-0.04,0.1,0.16,,682998,,2,3,Top,,,,,605131,,,6.703838881,-123.586425,-7.135302517,-15.09913048,23.0280233,-31.43065456,3.64,1.73,,,,86,2601,6.8,716774,686752,605131,518692,605141,571771,500743,444482,681546,518792,53.68,,,,,,,,20,2,Changeup,0,0,0,0,0,0,0,0,Standard,Standard,257,0,0.033
FF,8/30/2023,93.8,-1.6,5.86,"Pepiot, Ryan",606466,686752,,ball,,,,,14,Ketel Marte pops out to catcher Austin Barnes in foul territory.,R,L,R,LAD,AZ,B,,,0,0,2023,-0.87,1.36,0.15,1.46,,,682998,2,3,Top,,,,,605131,,,6.522793438,-136.3915901,-8.857876257,-12.18007052,25.86657302,-13.49012732,3.71,1.73,,,,95.5,2381,7,716774,686752,605131,518692,605141,571771,500743,444482,681546,518792,53.47,,,,,,,,20,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shade,Standard,211,-0.011,0.025
FF,8/30/2023,94.1,-1.21,5.93,"Pepiot, Ryan",682998,686752,hit_by_pitch,hit_by_pitch,,,,,12,Corbin Carroll hit by pitch.,R,L,R,LAD,AZ,B,,,2,1,2023,-0.54,1.51,1.73,3.59,,,,2,3,Top,,,,,605131,,,8.919663058,-136.8165627,-3.740781799,-8.738036897,29.23269806,-12.56287717,3.16,1.55,,,,95.3,2346,6.9,716774,686752,605131,518692,605141,571771,500743,444482,681546,518792,53.57,,,0.7,1,0,0,,19,4,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shade,Standard,210,-0.015,0.119
CH,8/30/2023,86.7,-1.37,5.99,"Pepiot, Ryan",682998,686752,,called_strike,,,,,5,Corbin Carroll hit by pitch.,R,L,R,LAD,AZ,S,,,2,0,2023,-1.18,0.32,-0.1,2.36,,,,2,3,Top,,,,,605131,,,5.494058725,-126.2014599,-3.213659905,-13.71218446,23.75457883,-28.33482593,3.12,1.55,,,,87.7,2472,6.8,716774,686752,605131,518692,605141,571771,500743,444482,681546,518792,53.75,,,,,,,,19,3,Changeup,0,0,0,0,0,0,0,0,Infield shade,Standard,251,0,-0.023
FF,8/30/2023,93.7,-1.29,5.89,"Pepiot, Ryan",682998,686752,,ball,,,,,13,Corbin Carroll hit by pitch.,R,L,R,LAD,AZ,B,,,1,0,2023,-0.68,1.38,-0.39,1.23,,,,2,3,Top,,,,,605131,,,3.841223548,-136.262497,-9.501105718,-9.269629534,26.66664505,-13.14979085,3.14,1.52,,,,95.1,2305,6.9,716774,686752,605131,518692,605141,571771,500743,444482,681546,518792,53.59,,,,,,,,19,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,215,0,0.022
CH,8/30/2023,86.6,-1.35,5.94,"Pepiot, Ryan",682998,686752,,ball,,,,,13,Corbin Carroll hit by pitch.,R,L,R,LAD,AZ,B,,,0,0,2023,-1.11,0.28,-0.54,1.01,,,,2,3,Top,,,,,605131,,,4.238248829,-126.0644333,-6.235565327,-12.67815397,23.96554367,-28.14545385,3.16,1.5,,,,87.6,2412,6.7,716774,686752,605131,518692,605141,571771,500743,444482,681546,518792,53.76,,,,,,,,19,1,Changeup,0,0,0,0,0,0,0,0,Standard,Standard,250,0,0.016
FF,8/30/2023,93.9,-1.23,5.85,"Pepiot, Ryan",672695,686752,field_out,hit_into_play,,,,,1,Geraldo Perdomo flies out to left fielder David Peralta.,R,L,R,LAD,AZ,X,7,fly_ball,3,2,2023,-0.57,1.48,-0.48,3.03,,,,1,3,Top,87.1,125.68,,,605131,,,3.248621897,-136.8134593,-4.94915014,-7.869081789,28.01609722,-12.65611825,3.4,1.55,203,92.3,61,95.4,2284,6.9,716774,686752,605131,518692,605141,571771,500743,444482,681546,518792,53.59,0.014,0.014,0,1,0,0,3,18,8,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shade,Standard,207,0.018,-0.207
SL,8/30/2023,88.5,-1.6,5.8,"Pepiot, Ryan",672695,686752,,ball,,,,,11,Geraldo Perdomo flies out to left fielder David Peralta.,R,L,R,LAD,AZ,B,,,2,2,2023,0.55,0.74,-0.53,3.77,,,,1,3,Top,,,,,605131,,,1.476266664,-129.0297299,-0.544909273,5.939135046,23.01269373,-23.87205686,3.44,1.63,,,,89.7,2562,6.6,716774,686752,605131,518692,605141,571771,500743,444482,681546,518792,53.87,,,,,,,,18,7,Slider,0,0,0,0,0,0,0,0,Infield shade,Standard,163,0,0.059
CH,8/30/2023,86,-1.41,5.99,"Pepiot, Ryan",672695,686752,,ball,,,,,13,Geraldo Perdomo flies out to left fielder David Peralta.,R,L,R,LAD,AZ,B,,,1,2,2023,-1.16,0.2,-1.15,1.04,,,,1,3,Top,,,,,605131,,,2.999628184,-125.1815014,-5.940062009,-12.77542937,24.30705992,-29.15698475,3.44,1.55,,,,86.7,2426,6.7,716774,686752,605131,518692,605141,571771,500743,444482,681546,518792,53.84,,,,,,,,18,6,Changeup,0,0,0,0,0,0,0,0,Infield shade,Standard,253,0,0.029
FF,8/30/2023,94.1,-1.43,5.88,"Pepiot, Ryan",672695,686752,,ball,,,,,11,Geraldo Perdomo flies out to left fielder David Peralta.,R,L,R,LAD,AZ,B,,,0,2,2023,-0.81,1.44,-1.45,4.24,,,,1,3,Top,,,,,605131,,,1.754282763,-137.0882678,-1.77639266,-10.60289847,30.46300684,-13.79162709,3.41,1.6,,,,95.1,2429,6.8,716774,686752,605131,518692,605141,571771,500743,444482,681546,518792,53.69,,,,,,,,18,5,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shade,Standard,212,0,0.012
CH,8/30/2023,86.2,-1.28,6,"Pepiot, Ryan",672695,686752,,foul,,,,,13,Geraldo Perdomo flies out to left fielder David Peralta.,R,L,R,LAD,AZ,S,,,0,2,2023,-1.36,0.18,-0.11,0.87,,,,1,3,Top,,,,,605131,,,5.602264724,-125.3671859,-6.341761168,-15.52790659,26.00615847,-29.12810924,3.4,1.55,2,48.6,-26,86.8,2595,6.7,716774,686752,605131,518692,605141,571771,500743,444482,681546,518792,53.76,,,,,,,,18,4,Changeup,0,0,0,0,0,0,0,0,Infield shade,Standard,254,0,0
FF,8/30/2023,94.7,-1.3,5.84,"Pepiot, Ryan",672695,686752,,foul,,,,,11,Geraldo Perdomo flies out to left fielder David Peralta.,R,L,R,LAD,AZ,S,,,0,2,2023,-0.88,1.33,-0.98,3.06,,,,1,3,Top,,,,,605131,,,2.815473729,-137.9163882,-4.595474251,-11.8223966,30.41109452,-14.42553558,3.4,1.55,244,75.4,33,95.7,2316,6.8,716774,686752,605131,518692,605141,571771,500743,444482,681546,518792,53.69,,,,,,,,18,3,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shade,Standard,210,0,0
FF,8/30/2023,94.8,-1.35,5.81,"Pepiot, Ryan",672695,686752,,swinging_strike,,,,,2,Geraldo Perdomo flies out to left fielder David Peralta.,R,L,R,LAD,AZ,S,,,0,1,2023,-0.78,1.48,0.14,3.02,,,,1,3,Top,,,,,605131,,,5.725440818,-137.8733475,-4.97080981,-11.25817494,31.78113221,-12.38643706,3.4,1.55,,,,95.7,2388,6.9,716774,686752,605131,518692,605141,571771,500743,444482,681546,518792,53.57,,,,,,,,18,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,209,0,-0.036
SL,8/30/2023,90.6,-1.66,5.8,"Pepiot, Ryan",672695,686752,,called_strike,,,,,2,Geraldo Perdomo flies out to left fielder David Peralta.,R,L,R,LAD,AZ,S,,,0,0,2023,0.47,1.11,-0.05,3.14,,,,1,3,Top,,,,,605131,,,3.049846867,-131.9345085,-3.149612994,4.880727893,26.68514272,-18.70708688,3.49,1.55,,,,91.5,2544,6.7,716774,686752,605131,518692,605141,571771,500743,444482,681546,518792,53.82,,,,,,,,18,1,Slider,0,0,0,0,0,0,0,0,Standard,Standard,176,0,-0.026
FF,8/30/2023,94.8,-1.28,5.86,"Pepiot, Ryan",645444,686752,field_out,hit_into_play,,,,,5,"Jose Herrera grounds out, third baseman Enrique Hernandez to first baseman Freddie Freeman.",R,L,R,LAD,AZ,X,5,ground_ball,1,2,2023,-0.68,1.45,-0.14,2.18,,,,0,3,Top,106.94,156.62,,,605131,,,4.537995351,-137.8747692,-7.27847896,-9.63186939,29.1105867,-12.27109526,3.13,1.44,8,86,-14,95.9,2313,6.8,716774,686752,605131,518692,605141,571771,500743,444482,681546,518792,53.65,0.089,0.08,0,1,0,0,2,17,4,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shade,Standard,211,0.025,-0.173
CH,8/30/2023,85.9,-1.28,6.06,"Pepiot, Ryan",645444,686752,,ball,,,,,13,"Jose Herrera grounds out, third baseman Enrique Hernandez to first baseman Freddie Freeman.",R,L,R,LAD,AZ,B,,,0,2,2023,-1.21,0.26,-0.57,1.18,,,,0,3,Top,,,,,605131,,,4.17305184,-124.9693398,-5.885668296,-13.55296145,24.14782972,-28.52737828,3.17,1.44,,,,86.5,2396,6.6,716774,686752,605131,518692,605141,571771,500743,444482,681546,518792,53.88,,,,,,,,17,3,Changeup,0,0,0,0,0,0,0,0,Infield shade,Standard,249,0,0.022
FF,8/30/2023,94.1,-1.22,5.94,"Pepiot, Ryan",645444,686752,,called_strike,,,,,4,"Jose Herrera grounds out, third baseman Enrique Hernandez to first baseman Freddie Freeman.",R,L,R,LAD,AZ,S,,,0,1,2023,-0.75,1.5,-0.63,2.18,,,,0,3,Top,,,,,605131,,,3.234416403,-136.914539,-7.411027186,-10.16646062,30.97118647,-11.91175836,3.12,1.44,,,,94.7,2369,6.7,716774,686752,605131,518692,605141,571771,500743,444482,681546,518792,53.8,,,,,,,,17,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shade,Standard,209,0,-0.049
FF,8/30/2023,93,-1.36,5.92,"Pepiot, Ryan",645444,686752,,called_strike,,,,,5,"Jose Herrera grounds out, third baseman Enrique Hernandez to first baseman Freddie Freeman.",R,L,R,LAD,AZ,S,,,0,0,2023,-0.71,1.58,0.07,2.55,,,,0,3,Top,,,,,605131,,,5.250828316,-135.2764694,-6.403601202,-9.799687949,28.88527535,-11.55818588,3.14,1.33,,,,94,2281,6.9,716774,686752,605131,518692,605141,571771,500743,444482,681546,518792,53.64,,,,,,,,17,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,207,0,-0.038
FF,8/30/2023,93.1,-1.39,5.94,"Pepiot, Ryan",607054,686752,field_out,hit_into_play,,,,,4,Jace Peterson pops out to shortstop Miguel Rojas.,R,L,R,LAD,AZ,X,6,popup,2,1,2023,-0.83,1.43,-0.5,2.69,,,677950,2,2,Top,117.25,125.68,,,605131,,,4.140722649,-135.4062839,-5.740600706,-11.11892084,30.33368923,-13.56865891,3.24,1.46,212,89.3,59,93.9,2248,6.8,716774,686752,605131,518692,605141,571771,500743,444482,681546,518792,53.65,0.017,0.021,0,1,0,0,3,12,4,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shade,Standard,213,0.024,-0.254
FF,8/30/2023,93.7,-1.34,5.96,"Pepiot, Ryan",607054,686752,,foul,,,,,4,Jace Peterson pops out to shortstop Miguel Rojas.,R,L,R,LAD,AZ,S,,,2,0,2023,-0.79,1.49,-0.57,2.28,,,677950,2,2,Top,,,,,605131,,,3.782364434,-136.3826994,-7.162955627,-10.68128095,29.38781013,-12.16534099,3.24,1.46,143,82.4,78,94.7,2345,6.8,716774,686752,605131,518692,605141,571771,500743,444482,681546,518792,53.66,,,,,,,,12,3,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shade,Standard,211,0,-0.043
CH,8/30/2023,84.8,-1.5,6.04,"Pepiot, Ryan",607054,686752,,ball,,,,,8,Jace Peterson pops out to shortstop Miguel Rojas.,R,L,R,LAD,AZ,B,,,1,0,2023,-1.1,0.04,-0.19,1.42,,,677950,2,2,Top,,,,,605131,,,5.276872411,-123.3989705,-4.61267594,-12.24724819,23.3465743,-31.05500106,3.14,1.45,,,,85.6,2299,6.7,716774,686752,605131,518692,605141,571771,500743,444482,681546,518792,53.82,,,,,,,,12,2,Changeup,0,0,0,0,0,0,0,0,Infield shade,Standard,257,0,0.031
FF,8/30/2023,93.9,-1.37,5.91,"Pepiot, Ryan",607054,686752,,ball,,,,,13,Jace Peterson pops out to shortstop Miguel Rojas.,R,L,R,LAD,AZ,B,,,0,0,2023,-0.82,1.49,-1.04,1.66,,,677950,2,2,Top,,,,,605131,,,2.710791448,-136.4680526,-8.628801929,-10.88999442,30.19191712,-11.86950619,3.36,1.45,,,,94.7,2350,6.8,716774,686752,605131,518692,605141,571771,500743,444482,681546,518792,53.65,,,,,,,,12,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shade,Standard,212,0,0.025
CH,8/30/2023,85.4,-1.4,6.01,"Pepiot, Ryan",666971,686752,strikeout,swinging_strike,,,,,13,Lourdes Gurriel Jr.  strikes out swinging.,R,R,R,LAD,AZ,S,2,,1,2,2023,-1.22,0.22,-0.48,1.05,,,677950,1,2,Top,,,,,605131,,,4.657666088,-124.2601438,-5.901885353,-13.56639536,23.55569483,-28.94261764,3.65,1.73,,,,86.3,2438,6.7,716774,686752,605131,518692,605141,571771,500743,444482,681546,518792,53.77,,,0,1,0,0,,11,4,Changeup,0,0,0,0,0,0,0,0,Standard,Standard,251,0.029,-0.215
SL,8/30/2023,88.6,-1.71,6.01,"Pepiot, Ryan",666971,686752,,called_strike,,,,,5,Lourdes Gurriel Jr.  strikes out swinging.,R,R,R,LAD,AZ,S,,,1,1,2023,0.38,0.86,-0.12,2.41,,,677950,1,2,Top,,,,,605131,,,3.079773984,-129.1508859,-4.617845608,3.756721629,23.83317497,-21.84195862,3.64,1.73,,,,89.4,2427,6.4,716774,686752,605131,518692,605141,571771,500743,444482,681546,518792,54.09,,,,,,,,11,3,Slider,0,0,0,0,0,0,0,0,Standard,Standard,177,0,-0.065
FF,8/30/2023,92.8,-1.48,6.09,"Pepiot, Ryan",666971,686752,,called_strike,,,,,5,Lourdes Gurriel Jr.  strikes out swinging.,R,R,R,LAD,AZ,S,,,1,0,2023,-0.62,1.55,-0.11,2.88,,,677950,1,2,Top,,,,,605131,,,4.875053602,-135.0293045,-5.857365073,-8.654141265,28.69184939,-12.10505586,3.91,1.87,,,,93.3,2331,6.5,716774,686752,605131,518692,605141,571771,500743,444482,681546,518792,53.97,,,,,,,,11,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,208,0,-0.062
FF,8/30/2023,93.8,-1.45,5.96,"Pepiot, Ryan",666971,686752,,ball,,,,,12,Lourdes Gurriel Jr.  strikes out swinging.,R,R,R,LAD,AZ,B,,,0,0,2023,-0.33,1.51,1.91,3.52,,,677950,1,2,Top,,,,,605131,,,9.541576532,-136.3424016,-3.951688963,-6.249168298,29.73040017,-12.6398474,3.59,1.73,,,,94.8,2303,6.9,716774,686752,605131,518692,605141,571771,500743,444482,681546,518792,53.59,,,,,,,,11,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,206,0,0.042
CH,8/30/2023,87.2,-1.53,5.97,"Pepiot, Ryan",677950,686752,force_out,hit_into_play,,,,,14,"Alek Thomas grounds into a force out, second baseman Mookie Betts to shortstop Miguel Rojas.   Christian Walker out at 2nd.    Alek Thomas to 1st.",R,L,R,LAD,AZ,X,4,ground_ball,0,2,2023,-1.34,0.32,0.1,1.27,,,572233,0,2,Top,153.75,153.44,,,605131,,,6.741668305,-126.7600056,-5.83677904,-15.86882655,26.07785676,-27.67257871,3.28,1.47,6,88.1,-12,87.9,2416,6.8,716774,686752,605131,518692,605141,571771,500743,444482,681546,518792,53.68,0.157,0.163,0,1,0,0,2,10,3,Changeup,0,0,0,0,0,0,0,0,Infield shade,Standard,248,0.035,-0.406
FF,8/30/2023,93.9,-1.5,5.91,"Pepiot, Ryan",677950,686752,,foul,,,,,4,"Alek Thomas grounds into a force out, second baseman Mookie Betts to shortstop Miguel Rojas.   Christian Walker out at 2nd.    Alek Thomas to 1st.",R,L,R,LAD,AZ,S,,,0,1,2023,-0.98,1.42,-0.7,2.61,,,572233,0,2,Top,,,,,605131,,,4.279078413,-136.6183772,-6.016783158,-13.21645417,30.74664331,-13.24751074,3.28,1.47,,,,94.8,2394,6.8,716774,686752,605131,518692,605141,571771,500743,444482,681546,518792,53.65,,,,,,,,10,2,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shade,Standard,212,0,-0.064
FF,8/30/2023,94,-1.49,5.96,"Pepiot, Ryan",677950,686752,,called_strike,,,,,6,"Alek Thomas grounds into a force out, second baseman Mookie Betts to shortstop Miguel Rojas.   Christian Walker out at 2nd.    Alek Thomas to 1st.",R,L,R,LAD,AZ,S,,,0,0,2023,-0.93,1.56,0.46,2.32,,,572233,0,2,Top,,,,,605131,,,7.203303491,-136.563977,-7.212965814,-13.25989886,31.60645197,-11.25702205,3.21,1.45,,,,94.8,2467,6.9,716774,686752,605131,518692,605141,571771,500743,444482,681546,518792,53.56,,,,,,,,10,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Standard,Standard,210,0,-0.054
CH,8/30/2023,85.3,-1.36,6.28,"Pepiot, Ryan",572233,686752,single,hit_into_play,,,,,4,Christian Walker singles on a sharp ground ball to left fielder David Peralta.,R,R,R,LAD,AZ,X,7,ground_ball,1,0,2023,-1.29,0.4,-0.5,2.74,,,,0,2,Top,68.82,150.59,,,605131,,,4.620388258,-124.2603306,-2.887462989,-14.25463869,22.95346287,-27.64543273,3.5,1.63,56,106.4,0,85.9,2332,6.4,716774,686752,605131,518692,605141,571771,500743,444482,681546,518792,54.05,0.514,0.483,0.9,1,1,0,4,9,2,Changeup,0,0,0,0,0,0,0,0,Standard,Standard,251,-0.038,0.351
FF,8/30/2023,93.2,-1.19,6.05,"Pepiot, Ryan",572233,686752,,ball,,,,,14,Christian Walker singles on a sharp ground ball to left fielder David Peralta.,R,R,R,LAD,AZ,B,,,0,0,2023,-0.54,1.59,1.27,2.45,,,,0,2,Top,,,,,605131,,,7.564791212,-135.5230177,-7.034245922,-8.285755332,28.05472649,-11.24915587,3.49,1.63,,,,94,2255,6.7,716774,686752,605131,518692,605141,571771,500743,444482,681546,518792,53.82,,,,,,,,9,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Strategic,Standard,212,0,0.036
CH,8/30/2023,86.2,-1.48,6.14,"Pepiot, Ryan",502054,686752,field_out,hit_into_play,,,,,4,Tommy Pham pops out to second baseman Mookie Betts.,R,R,R,LAD,AZ,X,4,popup,0,1,2023,-1.23,0.49,-0.83,2.3,,,,2,1,Top,126.84,186.19,,,605131,,,4.067514949,-125.5011398,-3.958603224,-13.79610345,23.37218611,-26.37490636,3.54,1.68,155,74.6,63,87,2397,6.6,716774,686752,605131,518692,605141,571771,500743,444482,681546,518792,53.89,0.011,0.011,0,1,0,0,3,3,2,Changeup,0,0,0,0,0,0,0,0,Strategic,Standard,252,0.01,-0.089
FF,8/30/2023,94.5,-1.3,5.97,"Pepiot, Ryan",502054,686752,,called_strike,,,,,5,Tommy Pham pops out to second baseman Mookie Betts.,R,R,R,LAD,AZ,S,,,0,0,2023,-0.68,1.51,-0.04,2.26,,,,2,1,Top,,,,,605131,,,4.837190715,-137.3996929,-7.45629128,-9.641201221,28.88751401,-11.54606145,3.54,1.62,,,,95.7,2311,6.9,716774,686752,605131,518692,605141,571771,500743,444482,681546,518792,53.6,,,,,,,,3,1,4-Seam Fastball,0,0,0,0,0,0,0,0,Strategic,Standard,210,0,-0.017
FF,8/30/2023,94.8,-1.3,6.08,"Pepiot, Ryan",606466,686752,strikeout,swinging_strike,,,,,11,Ketel Marte strikes out swinging.,R,L,R,LAD,AZ,S,2,,2,2,2023,-0.87,1.49,-0.17,3.9,,,,1,1,Top,,,,,605131,,,4.93714855,-137.9790719,-3.413860504,-12.1970652,29.77788169,-12.60426048,3.64,1.73,,,,95.9,2325,6.8,716774,686752,605131,518692,605141,571771,500743,444482,681546,518792,53.67,,,0,1,0,0,,2,6,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shade,Standard,210,0.015,-0.148
CH,8/30/2023,85,-1.37,6.25,"Pepiot, Ryan",606466,686752,,foul,,,,,4,Ketel Marte strikes out swinging.,R,L,R,LAD,AZ,S,,,2,2,2023,-1.06,0.2,-0.6,2.75,,,,1,1,Top,,,,,605131,,,3.938277801,-123.8520987,-2.338656914,-11.6505844,23.66148888,-29.89554236,3.64,1.73,178,65.8,36,85.6,2475,6.5,716774,686752,605131,518692,605141,571771,500743,444482,681546,518792,53.97,,,,,,,,2,5,Changeup,0,0,0,0,0,0,0,0,Infield shade,Standard,256,0,0
CH,8/30/2023,86.4,-1.54,6.18,"Pepiot, Ryan",606466,686752,,ball,,,,,13,Ketel Marte strikes out swinging.,R,L,R,LAD,AZ,B,,,1,2,2023,-1.35,0.13,-1.84,2.45,,,,1,1,Top,,,,,605131,,,2.071943103,-125.8958207,-2.990175989,-14.84334992,25.0037621,-30.35711725,3.59,1.67,,,,86.9,2456,6.5,716774,686752,605131,518692,605141,571771,500743,444482,681546,518792,53.99,,,,,,,,2,4,Changeup,0,0,0,0,0,0,0,0,Infield shade,Standard,251,0,0.029
FF,8/30/2023,95.1,-1.31,6,"Pepiot, Ryan",606466,686752,,foul_bunt,,,,,5,Ketel Marte strikes out swinging.,R,L,R,LAD,AZ,S,,,1,1,2023,-0.9,1.51,-0.23,2.75,,,,1,1,Top,,,,,605131,,,4.902378887,-138.3353817,-6.33424146,-12.62907898,29.08345926,-11.53057425,3.64,1.73,83,,,96.4,2371,6.9,716774,686752,605131,518692,605141,571771,500743,444482,681546,518792,53.6,,,,,,,,2,3,4-Seam Fastball,0,0,0,0,0,0,0,0,Infield shade,Standard,212,0,-0.043
